GENESIS-Tabelle: 23131-0004
Krankenhauspatienten: Deutschland, Jahre, Geschlecht,;;;;;;;;;;;;;;;;;;;;;;;;;;;
Altersgruppen, Fachabteilungen, Hauptdiagnose ICD-10;;;;;;;;;;;;;;;;;;;;;;;;;;;
(1-Steller);;;;;;;;;;;;;;;;;;;;;;;;;;;
Diagnosen der Krankenhauspatienten;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;
Entlassene Patienten (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt
;;;;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;Insgesamt;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;Insgesamt;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;Insgesamt
2022;Innere Medizin;ICD10-A00-B99;Bestimmte infektiöse und parasitäre Krankheiten;34;275;1095;10041;12022;12379;18298;113909;46;286;1320;8058;9945;11623;20522;114897;80;561;2415;18099;21967;24002;38820;228807
2022;Innere Medizin;ICD10-C00-C97;Bösartige Neubildungen;2;14;257;27350;27524;22427;22912;169987;-;5;136;19142;20426;17434;19576;134236;2;19;393;46492;47950;39861;42488;304223
2022;Innere Medizin;ICD10-D00-D48;Übrige Neubildungen;1;5;26;5221;5579;5057;5631;36426;6;12;30;3875;4258;4203;5096;31173;7;17;56;9096;9837;9260;10727;67599
2022;Innere Medizin;ICD10-D50-D90;Krankheiten des Blutes;2;11;82;2972;3607;3658;5776;30466;2;27;172;2890;3907;4520;7992;40075;4;38;254;5862;7514;8178;13768;70541
2022;Innere Medizin;ICD10-E00-E90;Endokrine, Ernährungs- und Stoffwechselkrankheiten;135;306;785;9564;10905;11345;18139;107696;143;246;750;7553;10222;13945;27324;129461;278;552;1535;17117;21127;25290;45463;237157
2022;Innere Medizin;ICD10-F00-F99;Psychische und Verhaltensstörungen;47;602;1753;2937;1892;1394;1751;58221;57;429;1394;1952;1681;1622;2385;33626;104;1031;3147;4889;3573;3016;4136;91848
2022;Innere Medizin;ICD10-G00-G99;Krankheiten des Nervensystems;40;67;273;4500;4595;4221;4781;44577;38;112;330;3208;3494;3520;4925;36470;78;179;603;7708;8089;7741;9706;81047
2022;Innere Medizin;ICD10-H00-H59;Krankheiten des Auges und der Augenanhangsgebilde;1;2;3;123;113;96;111;1000;-;1;9;77;94;101;166;1023;1;3;12;200;207;197;277;2023
2022;Innere Medizin;ICD10-H60-H95;Krankheiten des Ohres und des Warzenfortsatzes;-;4;12;491;521;424;481;4564;1;7;22;751;812;729;1012;6839;1;11;34;1242;1333;1153;1493;11403
