 ;;;;;;;;;;;;;;;;;;;;;
Diagnosen der Krankenhauspatienten;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;
Durchschn. Verweildauer der gestorbenen Patienten (Tage);;;;;;;;;;;;;;;;;;;;;
ICD-10 (1-3-Steller) Hauptdiagnose;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;2023;
ICD10-A00-B99;Bestimmte infektiöse und parasitäre Krankheiten;10,4;e;9,8;e;9,8;e;9,6;e;9,2;e;9,1;e;8,6;e;8,5;e;8,6;e;8,4;e
ICD10-A00-A09;  Infektiöse Darmkrankheiten;9,8;e;9,6;e;9,3;e;9;e;8,9;e;9;e;8,7;e;9;e;9,3;e;9;e
ICD10-A00;    Cholera;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
ICD10-A01;    Typhus abdominalis und Paratyphus;24,3;e;14;e;-;;-;;1;e;-;;11;e;-;;-;;8;e
ICD10-A02;    Sonstige Salmonelleninfektionen;11,5;e;13,8;e;11,3;e;11,5;e;9,4;e;15,5;e;8,5;e;10;e;17,1;e;13,7;e
ICD10-A03;    Shigellose (Bakterielle Ruhr);-;;-;;1;e;-;;-;;-;;-;;-;;-;;-;
ICD10-A04;    Sonstige bakterielle Darminfektionen;11,3;e;11,4;e;11,1;e;10,7;e;11,1;e;11,3;e;10,6;e;11,5;e;11,9;e;11,8;e
ICD10-A05;    Sonstige bakteriell bed. Lebensmittelvergiftungen;3,5;e;9,2;e;22,5;e;3;e;29,5;e;-;;4;e;20;e;12,4;e;4;e
ICD10-A06;    Amöbiasis;4;e;-;;24;e;-;;-;;-;;26,5;e;2;e;20;e;17;e
ICD10-A07;    Sonstige Darmkrankheiten durch Protozoen;12;e;1;e;9,2;e;12,5;e;-;;15,7;e;3;e;4;e;14,4;e;18;e
ICD10-A08;    Virusbed. u.sonst. näher bezeichn. Darminfektionen;11,2;e;9,5;e;10;e;10,6;e;9,2;e;10,3;e;10,9;e;9,1;e;10,3;e;9,4;e
ICD10-A09;    Sonst. Gastroenteritis u.Kolitis infekt. Ursprungs;7,3;e;6,8;e;6,8;e;6,8;e;6,7;e;6,8;e;6,8;e;7;e;7,1;e;6,9;e
ICD10-A15-A19;  Tuberkulose;27,1;e;25,8;e;27,4;e;26,8;e;25,4;e;25,8;e;28,7;e;24,7;e;26,5;e;28,4;e
ICD10-A15;    Tuberkulose der Atmungsorgane, gesichert;29,2;e;28,7;e;29;e;26,4;e;27,2;e;26,8;e;29,4;e;25;e;28,1;e;30,2;e
ICD10-A16;    Tuberkulose der Atmungsorgane, nicht gesichert;20,1;e;14,2;e;10,8;e;13,5;e;24,7;e;16,2;e;16,9;e;12,3;e;20,6;e;20,4;e
ICD10-A17;    Tuberkulose des Nervensystems;34,3;e;24,4;e;53,4;e;30,3;e;14,9;e;33,8;e;40,9;e;18,4;e;12;e;27,3;e
ICD10-A18;    Tuberkulose sonstiger Organe;33,3;e;24,8;e;19,4;e;50,7;e;28,2;e;24,2;e;20;e;27,4;e;48,1;e;35,4;e
ICD10-A19;    Miliartuberkulose;18,6;e;17,9;e;25,1;e;23,4;e;21;e;26,3;e;32,1;e;36,6;e;17;e;20,6;e
ICD10-A20-A28;  Bestimmte bakterielle Zoonosen;3,8;e;16,6;e;2;e;13,1;e;13;e;11,8;e;7,3;e;17,1;e;19,5;e;13,1;e
ICD10-A20;    Pest;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
ICD10-A21;    Tularämie;-;;-;;1;e;-;;-;;-;;-;;-;;44;e;15;e
ICD10-A22;    Anthrax (Milzbrand);-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
ICD10-A23;    Brucellose;-;;-;;-;;-;;-;;-;;-;;-;;21;e;32;e
ICD10-A24;    Rotz (Malleus) und Melioidose (Pseudorotz);-;;4;e;-;;-;;-;;-;;-;;-;;-;;-;
ICD10-A25;    Rattenbisskrankheiten;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
ICD10-A26;    Erysipeloid;2,7;e;7;e;1;e;9;e;11,5;e;11,3;e;3;e;13,5;e;-;;5;e
ICD10-A27;    Leptospirose;5,5;e;32,5;e;2,5;e;17;e;2;e;-;;6,5;e;28,3;e;22;e;16,7;e
ICD10-A28;    Sonstige bakterielle Zoonosen, ao.nicht klass.;-;;27,3;e;3;e;13,3;e;20;e;13;e;10,7;e;13,8;e;13,8;e;14;e
ICD10-A30-A49;  Sonstige bakterielle Krankheiten;10,1;e;9,4;e;9,5;e;9,3;e;8,9;e;8,7;e;8,2;e;8,2;e;8,2;e;8;e
ICD10-A30;    Lepra (Aussatz);-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
ICD10-A31;    Infektion durch sonstige Mykobakterien;28,3;e;20,6;e;28,2;e;20;e;21,5;e;25,6;e;27,1;e;20,8;e;20;e;16,4;e
ICD10-A32;    Listeriose;11,6;e;10,8;e;13,5;e;16,1;e;13,1;e;9,5;e;11,5;e;10,6;e;15,8;e;13;e
