GENESIS-Tabelle: 23111-0002
Personal in Krankenhäusern: Deutschland, Stichtag;;;;
Grunddaten der Krankenhäuser;;;;
Deutschland;;;;
;Personal;Hauptamtliche Ärzte;Nichtärztliches Personal;Nichtärztliches Personal im Pflegedienst
;Anzahl;Anzahl;Anzahl;Anzahl
31.12.1991;1119791;109072;913376;389511
31.12.1992;1133050;111115;926181;399915
31.12.1993;1134690;111608;928858;405848
31.12.1994;1146779;114208;936904;417272
31.12.1995;1161863;116346;948013;429183
31.12.1996;1150857;117922;935071;427271
31.12.1997;1133409;118522;918078;420306
31.12.1998;1124881;119831;911216;419284
31.12.1999;1114178;120608;903155;415865
31.12.2000;1108646;122062;897401;414478
31.12.2001;1109420;123819;899420;416319
31.12.2002;1120773;126047;907871;417282
31.12.2003;1104610;128853;890122;408183
31.12.2004;1079831;129817;868048;396691
31.12.2005;1070655;131115;859709;393186
31.12.2006;1071995;133649;858088;392711
31.12.2007;1074883;136267;858151;392896
31.12.2008;1085664;139294;865027;396221
31.12.2009;1104209;143967;877878;401625
31.12.2010;1120829;148696;888314;406269
31.12.2011;1136204;154248;896288;411920
31.12.2012;1154411;159764;907522;414884
31.12.2013;1172077;164720;919650;419140
31.12.2014;1186650;169528;928355;422779
31.12.2015;1200849;174391;937099;426838
31.12.2016;1223859;180372;952659;433434
31.12.2017;1246121;186021;967439;437648
31.12.2018;1259838;191122;976219;437799
31.12.2019;1305430;196470;997406;457947
31.12.2020;1347524;200565;1028228;486085
31.12.2021;1369562;203286;1041806;497529
31.12.2022;1388347;207388;1056830;509104
31.12.2023;1424394;211994;1083370;528323
__________
"Personal:
Summe aus hauptamtlichen Ärzten und Zahnärzten,
nichtärztlichem Personal, Personal der Ausbildungsstätten
und Schülern."
© Statistisches Bundesamt (Destatis), 2024
Stand: 30.10.2024 / 16:22:38
