Tabelle: 23111-0002
Personal in Krankenhäusern: Deutschland, Stichtag;;;;
Grunddaten der Krankenhäuser;;;;;;;;
Deutschland;;;;;;;;
;Personal;;Hauptamtliche Ärzte;;Nichtärztliches Personal;;Nichtärztliches Personal im Pflegedienst;
;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
31.12.2010;1120829;e;148696;e;888314;e;406269;e
31.12.2011;1136204;e;154248;e;896288;e;411920;e
31.12.2012;1154411;e;159764;e;907522;e;414884;e
31.12.2013;1172077;e;164720;e;919650;e;419140;e
31.12.2014;1186650;e;169528;e;928355;e;422779;e
31.12.2015;1200849;e;174391;e;937099;e;426838;e
31.12.2016;1223859;e;180372;e;952659;e;433434;e
31.12.2017;1246121;e;186021;e;967439;e;437648;e
31.12.2018;1259838;e;191122;e;976219;e;437799;e
31.12.2019;1305430;e;196470;e;997406;e;457947;e
31.12.2020;1347524;e;200565;e;1028228;e;486085;e
31.12.2021;1369562;e;203286;e;1041806;e;497529;e
31.12.2022;1388347;e;207388;e;1056830;e;509104;e
31.12.2023;1424394;e;211994;e;1083370;e;528323;e
__________
"Personal:
Summe aus hauptamtlichen Ärzten und Zahnärzten,
nichtärztlichem Personal, Personal der Ausbildungsstätten
und Schülern."
© Statistisches Bundesamt (Destatis), 2024
Stand: 04.12.2024 / 14:49:42
